show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,duration_clean,duration_type
s177,Movie,Title 177,Director 177,"Actor 177, Actress 177",Spain,Not Available,2005,TV-MA,80 min,"Adventure, Romance",Description for Title 177,80,Minutes
s178,TV Show,Title 178,Unknown,"Actor 178, Actress 178",Spain,05-08-2018 00:00,2018,PG-13,8 Seasons,"Adventure, Thriller",Description for Title 178,8,Seasons
s179,Movie,Title 179,Director 179,"Actor 179, Actress 179",United Kingdom,08-03-2022 00:00,2023,PG,76 min,"Fantasy, Fantasy",Description for Title 179,76,Minutes
s180,Movie,Title 180,Director 180,"Actor 180, Actress 180",Germany,Not Available,2024,TV-14,173 min,"Sci-Fi, Adventure",Description for Title 180,173,Minutes
s181,TV Show,Title 181,Unknown,"Actor 181, Actress 181",South Korea,Not Available,2004,PG-13,9 Seasons,"Crime, Romance",Description for Title 181,9,Seasons
s182,TV Show,Title 182,Unknown,"Actor 182, Actress 182",Spain,01-06-2016 00:00,2012,G,5 Seasons,"Crime, Drama",Description for Title 182,5,Seasons
s183,TV Show,Title 183,Director 183,Unknown,Germany,Not Available,2020,TV-14,3 Seasons,"Action, Documentary",Description for Title 183,3,Seasons
s184,TV Show,Title 184,Unknown,"Actor 184, Actress 184",South Korea,02-03-2020 00:00,1997,PG,6 Seasons,"Horror, Horror",Description for Title 184,6,Seasons
s185,TV Show,Title 185,Director 185,"Actor 185, Actress 185",Canada,Not Available,2021,PG-13,8 Seasons,"Crime, Adventure",Description for Title 185,8,Seasons
s186,Movie,Title 186,Director 186,Unknown,United States,Not Available,1990,PG-13,177 min,"Drama, Documentary",Description for Title 186,177,Minutes
s187,TV Show,Title 187,Director 187,"Actor 187, Actress 187",United Kingdom,10-01-2023 00:00,2006,G,5 Seasons,"Action, Fantasy",Description for Title 187,5,Seasons
s188,TV Show,Title 188,Director 188,"Actor 188, Actress 188",India,02-09-2023 00:00,2016,R,8 Seasons,"Drama, Action",Description for Title 188,8,Seasons
s189,TV Show,Title 189,Unknown,"Actor 189, Actress 189",South Korea,Not Available,2018,TV-MA,6 Seasons,"Crime, Crime",Description for Title 189,6,Seasons
s190,Movie,Title 190,Director 190,"Actor 190, Actress 190",Germany,Not Available,1997,G,67 min,"Crime, Fantasy",Description for Title 190,67,Minutes
s191,TV Show,Title 191,Director 191,Unknown,Canada,Not Available,2013,PG-13,2 Seasons,"Action, Adventure",Description for Title 191,2,Seasons
s192,Movie,Title 192,Unknown,"Actor 192, Actress 192",Canada,Not Available,2003,R,158 min,"Romance, Sci-Fi",Description for Title 192,158,Minutes
s193,TV Show,Title 193,Unknown,Unknown,Japan,Not Available,1996,PG-13,1 Seasons,"Adventure, Crime",Description for Title 193,1,Seasons
s194,Movie,Title 194,Director 194,"Actor 194, Actress 194",South Korea,12-07-2020 00:00,2014,PG-13,132 min,"Comedy, Comedy",Description for Title 194,132,Minutes
s195,TV Show,Title 195,Director 195,Unknown,Spain,Not Available,2005,R,8 Seasons,"Horror, Crime",Description for Title 195,8,Seasons
s196,Movie,Title 196,Director 196,"Actor 196, Actress 196",South Korea,Not Available,1998,TV-14,128 min,"Romance, Action",Description for Title 196,128,Minutes
s197,TV Show,Title 197,Director 197,"Actor 197, Actress 197",Germany,03-06-2024 00:00,2020,G,7 Seasons,"Horror, Drama",Description for Title 197,7,Seasons
s198,Movie,Title 198,Director 198,"Actor 198, Actress 198",South Korea,Not Available,2021,TV-MA,148 min,"Thriller, Documentary",Description for Title 198,148,Minutes
s199,TV Show,Title 199,Director 199,Unknown,Spain,Not Available,2016,TV-MA,4 Seasons,"Drama, Documentary",Description for Title 199,4,Seasons
s200,Movie,Title 200,Unknown,"Actor 200, Actress 200",India,09-02-2016 00:00,2000,R,147 min,"Romance, Comedy",Description for Title 200,147,Minutes
s201,Movie,Title 201,Unknown,Unknown,United Kingdom,Not Available,1995,TV-14,89 min,"Documentary, Drama",Description for Title 201,89,Minutes
s202,Movie,Title 202,Director 202,"Actor 202, Actress 202",United States,Not Available,2006,PG,85 min,"Crime, Adventure",Description for Title 202,85,Minutes
s203,TV Show,Title 203,Director 203,Unknown,Germany,Not Available,2023,TV-MA,5 Seasons,"Sci-Fi, Adventure",Description for Title 203,5,Seasons
s204,Movie,Title 204,Director 204,"Actor 204, Actress 204",United States,Not Available,1998,TV-14,64 min,"Romance, Horror",Description for Title 204,64,Minutes
s205,Movie,Title 205,Unknown,"Actor 205, Actress 205",Germany,03-07-2015 00:00,1992,PG-13,72 min,"Comedy, Thriller",Description for Title 205,72,Minutes
s206,Movie,Title 206,Director 206,"Actor 206, Actress 206",India,Not Available,2016,PG,72 min,"Romance, Comedy",Description for Title 206,72,Minutes
s207,Movie,Title 207,Director 207,"Actor 207, Actress 207",United States,04-01-2020 00:00,2014,R,101 min,"Horror, Documentary",Description for Title 207,101,Minutes
s208,TV Show,Title 208,Director 208,"Actor 208, Actress 208",Canada,Not Available,2001,TV-MA,2 Seasons,"Action, Romance",Description for Title 208,2,Seasons
s209,Movie,Title 209,Unknown,"Actor 209, Actress 209",Spain,05-12-2022 00:00,1998,R,100 min,"Comedy, Horror",Description for Title 209,100,Minutes
s210,Movie,Title 210,Director 210,"Actor 210, Actress 210",Canada,Not Available,2010,PG,106 min,"Thriller, Action",Description for Title 210,106,Minutes
s211,Movie,Title 211,Director 211,Unknown,United Kingdom,Not Available,2010,R,175 min,"Sci-Fi, Drama",Description for Title 211,175,Minutes
s212,Movie,Title 212,Director 212,"Actor 212, Actress 212",Canada,12-09-2021 00:00,2008,PG-13,157 min,"Romance, Fantasy",Description for Title 212,157,Minutes
s213,TV Show,Title 213,Director 213,"Actor 213, Actress 213",United States,Not Available,1998,PG,3 Seasons,"Drama, Drama",Description for Title 213,3,Seasons
s214,Movie,Title 214,Director 214,"Actor 214, Actress 214",India,Not Available,2007,PG,154 min,"Action, Horror",Description for Title 214,154,Minutes
s215,TV Show,Title 215,Director 215,"Actor 215, Actress 215",United States,05-01-2021 00:00,2006,G,7 Seasons,"Documentary, Sci-Fi",Description for Title 215,7,Seasons
s216,Movie,Title 216,Director 216,"Actor 216, Actress 216",Germany,08-05-2018 00:00,2017,TV-MA,77 min,"Crime, Thriller",Description for Title 216,77,Minutes
s217,Movie,Title 217,Director 217,Unknown,Canada,01-08-2023 00:00,1990,PG,61 min,"Drama, Drama",Description for Title 217,61,Minutes
s218,TV Show,Title 218,Director 218,"Actor 218, Actress 218",South Korea,Not Available,1998,TV-14,3 Seasons,"Drama, Sci-Fi",Description for Title 218,3,Seasons
s219,TV Show,Title 219,Director 219,"Actor 219, Actress 219",Germany,Not Available,2012,PG,6 Seasons,"Drama, Action",Description for Title 219,6,Seasons
s220,Movie,Title 220,Director 220,"Actor 220, Actress 220",United States,Not Available,2006,TV-MA,161 min,"Sci-Fi, Fantasy",Description for Title 220,161,Minutes
s221,TV Show,Title 221,Director 221,"Actor 221, Actress 221",Japan,Not Available,2004,PG,7 Seasons,"Fantasy, Drama",Description for Title 221,7,Seasons
s222,TV Show,Title 222,Director 222,"Actor 222, Actress 222",Germany,Not Available,1993,PG,8 Seasons,"Adventure, Thriller",Description for Title 222,8,Seasons
s223,TV Show,Title 223,Unknown,"Actor 223, Actress 223",United Kingdom,Not Available,1998,TV-14,9 Seasons,"Adventure, Sci-Fi",Description for Title 223,9,Seasons
s224,Movie,Title 224,Director 224,"Actor 224, Actress 224",South Korea,Not Available,1998,PG-13,173 min,"Action, Comedy",Description for Title 224,173,Minutes
s225,Movie,Title 225,Director 225,"Actor 225, Actress 225",Japan,03-07-2020 00:00,1992,R,172 min,"Horror, Documentary",Description for Title 225,172,Minutes
s226,Movie,Title 226,Director 226,"Actor 226, Actress 226",Japan,Not Available,2006,TV-14,154 min,"Fantasy, Crime",Description for Title 226,154,Minutes
s227,Movie,Title 227,Director 227,Unknown,Germany,Not Available,1991,PG-13,133 min,"Adventure, Adventure",Description for Title 227,133,Minutes
s228,Movie,Title 228,Director 228,"Actor 228, Actress 228",Canada,Not Available,1990,PG,123 min,"Action, Drama",Description for Title 228,123,Minutes
s229,Movie,Title 229,Director 229,Unknown,Germany,Not Available,2013,TV-14,107 min,"Romance, Documentary",Description for Title 229,107,Minutes
s230,TV Show,Title 230,Director 230,"Actor 230, Actress 230",United Kingdom,07-01-2023 00:00,2017,PG-13,2 Seasons,"Romance, Comedy",Description for Title 230,2,Seasons
s231,Movie,Title 231,Director 231,"Actor 231, Actress 231",Japan,Not Available,2008,R,163 min,"Adventure, Crime",Description for Title 231,163,Minutes
s232,TV Show,Title 232,Director 232,"Actor 232, Actress 232",Spain,09-08-2024 00:00,1994,TV-MA,1 Seasons,"Romance, Comedy",Description for Title 232,1,Seasons
s233,Movie,Title 233,Unknown,"Actor 233, Actress 233",Canada,Not Available,2018,TV-MA,112 min,"Crime, Documentary",Description for Title 233,112,Minutes
s234,Movie,Title 234,Director 234,"Actor 234, Actress 234",Japan,Not Available,2003,G,111 min,"Comedy, Drama",Description for Title 234,111,Minutes
s235,Movie,Title 235,Director 235,"Actor 235, Actress 235",United Kingdom,Not Available,2015,PG,64 min,"Horror, Horror",Description for Title 235,64,Minutes
s236,Movie,Title 236,Director 236,"Actor 236, Actress 236",Japan,Not Available,2004,TV-14,75 min,"Fantasy, Romance",Description for Title 236,75,Minutes
s237,Movie,Title 237,Director 237,"Actor 237, Actress 237",Spain,Not Available,1995,PG-13,99 min,"Comedy, Horror",Description for Title 237,99,Minutes
s238,Movie,Title 238,Director 238,"Actor 238, Actress 238",India,Not Available,2007,PG,91 min,"Horror, Adventure",Description for Title 238,91,Minutes
s239,Movie,Title 239,Director 239,"Actor 239, Actress 239",Germany,Not Available,1995,R,139 min,"Documentary, Thriller",Description for Title 239,139,Minutes
s240,Movie,Title 240,Director 240,"Actor 240, Actress 240",South Korea,12-08-2017 00:00,2022,PG-13,131 min,"Romance, Adventure",Description for Title 240,131,Minutes
s241,TV Show,Title 241,Director 241,"Actor 241, Actress 241",Canada,Not Available,1998,PG-13,9 Seasons,"Sci-Fi, Documentary",Description for Title 241,9,Seasons
s242,Movie,Title 242,Director 242,"Actor 242, Actress 242",United States,Not Available,2009,TV-14,74 min,"Drama, Comedy",Description for Title 242,74,Minutes
s243,Movie,Title 243,Director 243,"Actor 243, Actress 243",Japan,Not Available,2007,PG-13,89 min,"Drama, Documentary",Description for Title 243,89,Minutes
s244,Movie,Title 244,Director 244,"Actor 244, Actress 244",South Korea,07-02-2015 00:00,2001,PG,104 min,"Horror, Comedy",Description for Title 244,104,Minutes
s245,Movie,Title 245,Director 245,"Actor 245, Actress 245",India,10-05-2015 00:00,2008,PG,115 min,"Crime, Documentary",Description for Title 245,115,Minutes
s246,Movie,Title 246,Director 246,"Actor 246, Actress 246",India,Not Available,2012,TV-14,81 min,"Comedy, Thriller",Description for Title 246,81,Minutes
s247,Movie,Title 247,Director 247,"Actor 247, Actress 247",Germany,Not Available,2016,PG,149 min,"Comedy, Adventure",Description for Title 247,149,Minutes
s248,TV Show,Title 248,Director 248,"Actor 248, Actress 248",India,Not Available,2005,PG,7 Seasons,"Sci-Fi, Romance",Description for Title 248,7,Seasons
s249,TV Show,Title 249,Director 249,"Actor 249, Actress 249",Japan,11-04-2021 00:00,2009,R,10 Seasons,"Fantasy, Comedy",Description for Title 249,10,Seasons
s250,TV Show,Title 250,Director 250,"Actor 250, Actress 250",India,Not Available,2018,R,9 Seasons,"Adventure, Fantasy",Description for Title 250,9,Seasons
s251,TV Show,Title 251,Unknown,"Actor 251, Actress 251",Japan,04-07-2023 00:00,1992,G,5 Seasons,"Comedy, Thriller",Description for Title 251,5,Seasons
s252,Movie,Title 252,Unknown,"Actor 252, Actress 252",Japan,06-04-2019 00:00,1999,G,180 min,"Fantasy, Comedy",Description for Title 252,180,Minutes
s253,Movie,Title 253,Director 253,"Actor 253, Actress 253",Japan,Not Available,2005,G,178 min,"Crime, Thriller",Description for Title 253,178,Minutes
s254,Movie,Title 254,Director 254,"Actor 254, Actress 254",United Kingdom,Not Available,1998,G,164 min,"Comedy, Documentary",Description for Title 254,164,Minutes
s255,Movie,Title 255,Unknown,"Actor 255, Actress 255",India,Not Available,2023,R,141 min,"Adventure, Crime",Description for Title 255,141,Minutes
s256,Movie,Title 256,Director 256,"Actor 256, Actress 256",Germany,Not Available,1993,TV-MA,70 min,"Crime, Sci-Fi",Description for Title 256,70,Minutes
s257,Movie,Title 257,Director 257,"Actor 257, Actress 257",Canada,Not Available,1992,G,63 min,"Sci-Fi, Sci-Fi",Description for Title 257,63,Minutes
s258,Movie,Title 258,Director 258,"Actor 258, Actress 258",Japan,Not Available,2014,TV-MA,133 min,"Documentary, Thriller",Description for Title 258,133,Minutes
s259,TV Show,Title 259,Director 259,Unknown,Canada,Not Available,2000,PG,7 Seasons,"Adventure, Sci-Fi",Description for Title 259,7,Seasons
s260,Movie,Title 260,Director 260,"Actor 260, Actress 260",India,04-09-2016 00:00,2011,R,152 min,"Crime, Drama",Description for Title 260,152,Minutes
s261,TV Show,Title 261,Director 261,"Actor 261, Actress 261",United Kingdom,03-04-2018 00:00,1991,G,1 Seasons,"Fantasy, Documentary",Description for Title 261,1,Seasons
s262,TV Show,Title 262,Director 262,Unknown,United States,Not Available,1998,TV-MA,2 Seasons,"Horror, Comedy",Description for Title 262,2,Seasons
s263,TV Show,Title 263,Unknown,Unknown,United Kingdom,Not Available,1993,TV-14,2 Seasons,"Fantasy, Drama",Description for Title 263,2,Seasons
s264,TV Show,Title 264,Director 264,"Actor 264, Actress 264",Germany,Not Available,1991,PG-13,6 Seasons,"Sci-Fi, Adventure",Description for Title 264,6,Seasons
s265,Movie,Title 265,Director 265,Unknown,United States,Not Available,2018,PG-13,139 min,"Romance, Horror",Description for Title 265,139,Minutes
s266,Movie,Title 266,Director 266,"Actor 266, Actress 266",South Korea,Not Available,2019,TV-MA,113 min,"Adventure, Horror",Description for Title 266,113,Minutes
s267,TV Show,Title 267,Director 267,"Actor 267, Actress 267",United Kingdom,Not Available,2012,PG,5 Seasons,"Crime, Sci-Fi",Description for Title 267,5,Seasons
s268,Movie,Title 268,Director 268,"Actor 268, Actress 268",United Kingdom,02-05-2024 00:00,2015,PG,132 min,"Horror, Sci-Fi",Description for Title 268,132,Minutes
s269,TV Show,Title 269,Unknown,"Actor 269, Actress 269",Canada,Not Available,2014,TV-14,8 Seasons,"Romance, Comedy",Description for Title 269,8,Seasons
s270,TV Show,Title 270,Director 270,"Actor 270, Actress 270",Spain,Not Available,2005,PG-13,8 Seasons,"Sci-Fi, Sci-Fi",Description for Title 270,8,Seasons
s271,Movie,Title 271,Director 271,"Actor 271, Actress 271",Germany,10-08-2017 00:00,2003,G,65 min,"Romance, Romance",Description for Title 271,65,Minutes
s272,TV Show,Title 272,Unknown,"Actor 272, Actress 272",Canada,Not Available,2024,PG-13,8 Seasons,"Drama, Romance",Description for Title 272,8,Seasons
s273,TV Show,Title 273,Director 273,"Actor 273, Actress 273",Canada,02-08-2024 00:00,1993,PG-13,6 Seasons,"Drama, Fantasy",Description for Title 273,6,Seasons
s274,TV Show,Title 274,Director 274,"Actor 274, Actress 274",Spain,Not Available,1998,TV-MA,6 Seasons,"Romance, Thriller",Description for Title 274,6,Seasons
s275,TV Show,Title 275,Director 275,"Actor 275, Actress 275",Japan,02-08-2016 00:00,2014,PG-13,9 Seasons,"Adventure, Adventure",Description for Title 275,9,Seasons
s276,Movie,Title 276,Unknown,"Actor 276, Actress 276",Canada,05-02-2016 00:00,2010,TV-MA,110 min,"Drama, Thriller",Description for Title 276,110,Minutes
s277,TV Show,Title 277,Director 277,"Actor 277, Actress 277",Japan,12-03-2022 00:00,2016,PG-13,4 Seasons,"Romance, Horror",Description for Title 277,4,Seasons
s278,TV Show,Title 278,Director 278,"Actor 278, Actress 278",United Kingdom,Not Available,1991,PG-13,4 Seasons,"Drama, Adventure",Description for Title 278,4,Seasons
s279,Movie,Title 279,Director 279,"Actor 279, Actress 279",Japan,01-11-2023 00:00,2007,G,65 min,"Romance, Sci-Fi",Description for Title 279,65,Minutes
s280,Movie,Title 280,Director 280,"Actor 280, Actress 280",United States,04-08-2023 00:00,2000,PG,127 min,"Crime, Documentary",Description for Title 280,127,Minutes
s281,TV Show,Title 281,Unknown,"Actor 281, Actress 281",Germany,07-04-2019 00:00,2018,TV-MA,10 Seasons,"Adventure, Comedy",Description for Title 281,10,Seasons
s282,TV Show,Title 282,Director 282,"Actor 282, Actress 282",Canada,06-01-2021 00:00,2009,G,10 Seasons,"Documentary, Crime",Description for Title 282,10,Seasons
s283,TV Show,Title 283,Director 283,Unknown,United States,08-08-2018 00:00,2019,G,7 Seasons,"Adventure, Comedy",Description for Title 283,7,Seasons
s284,Movie,Title 284,Director 284,"Actor 284, Actress 284",Spain,12-02-2022 00:00,1994,TV-14,64 min,"Romance, Comedy",Description for Title 284,64,Minutes
s285,TV Show,Title 285,Director 285,"Actor 285, Actress 285",India,Not Available,1993,R,9 Seasons,"Documentary, Thriller",Description for Title 285,9,Seasons
s286,Movie,Title 286,Director 286,"Actor 286, Actress 286",Canada,Not Available,2024,TV-14,102 min,"Adventure, Documentary",Description for Title 286,102,Minutes
s287,Movie,Title 287,Director 287,"Actor 287, Actress 287",Canada,12-09-2023 00:00,1990,R,127 min,"Thriller, Thriller",Description for Title 287,127,Minutes
s288,TV Show,Title 288,Director 288,"Actor 288, Actress 288",United Kingdom,01-08-2022 00:00,2024,PG,5 Seasons,"Sci-Fi, Thriller",Description for Title 288,5,Seasons
s289,TV Show,Title 289,Director 289,"Actor 289, Actress 289",United States,03-06-2022 00:00,2013,R,6 Seasons,"Romance, Fantasy",Description for Title 289,6,Seasons
s290,TV Show,Title 290,Director 290,Unknown,United States,11-11-2016 00:00,2005,TV-14,7 Seasons,"Sci-Fi, Thriller",Description for Title 290,7,Seasons
s291,Movie,Title 291,Director 291,"Actor 291, Actress 291",Japan,Not Available,1993,PG-13,168 min,"Romance, Horror",Description for Title 291,168,Minutes
s292,TV Show,Title 292,Director 292,"Actor 292, Actress 292",United Kingdom,08-04-2016 00:00,2018,PG,10 Seasons,"Action, Documentary",Description for Title 292,10,Seasons
s293,Movie,Title 293,Director 293,"Actor 293, Actress 293",South Korea,Not Available,1990,PG-13,133 min,"Crime, Sci-Fi",Description for Title 293,133,Minutes
s294,TV Show,Title 294,Director 294,Unknown,Germany,04-03-2017 00:00,2008,TV-MA,4 Seasons,"Sci-Fi, Horror",Description for Title 294,4,Seasons
s295,TV Show,Title 295,Director 295,"Actor 295, Actress 295",India,Not Available,1999,R,7 Seasons,"Thriller, Thriller",Description for Title 295,7,Seasons
s296,Movie,Title 296,Director 296,"Actor 296, Actress 296",United States,Not Available,2008,G,163 min,"Drama, Crime",Description for Title 296,163,Minutes
s297,TV Show,Title 297,Director 297,"Actor 297, Actress 297",South Korea,02-08-2021 00:00,2014,R,8 Seasons,"Thriller, Sci-Fi",Description for Title 297,8,Seasons
s298,Movie,Title 298,Director 298,"Actor 298, Actress 298",Japan,Not Available,1991,TV-MA,79 min,"Comedy, Thriller",Description for Title 298,79,Minutes
s299,TV Show,Title 299,Director 299,"Actor 299, Actress 299",Canada,Not Available,1992,PG-13,4 Seasons,"Documentary, Adventure",Description for Title 299,4,Seasons
s300,TV Show,Title 300,Director 300,"Actor 300, Actress 300",United Kingdom,05-01-2017 00:00,2013,R,2 Seasons,"Sci-Fi, Romance",Description for Title 300,2,Seasons
